id,jblanques,jnegres,victoria,jutge,jornada,sala,hotel
1,10000456H,10100383F,10000456H,20100393R,1,Gènova,Hotel Capri
2,10200442T,10300,10300,20100393R,1,Victòria,Hotel Montserrat
3,10400222T,10500332J,10500332J,20100393R,1,Victòria,Hotel Calipolis
4,10600993N,10700775L,10700775L,20200288L,1,Venecia,Hotel Antemare
5,10800332K,10900331F,10800332K,20100393R,1,Gènova,Hotel Capri
6,11000901D,11100199M,11000901D,20100393R,1,Venecia,Hotel Antemare
7,11200393J,11300443Y,11300443Y,20100393R,1,Artemisa,Hotel Montserrat
8,11400212V,11500678S,11500678S,20100393R,1,Victòria,Hotel Montserrat
9,11600283R,11700269G,11600283R,20100393R,1,Ducci,Hotel Montserrat
10,11800,11900147M,11900147M,20200288L,1,Gènova,Hotel Capri
11,12000922R,12100887M,12000922R,20200288L,1,Venecia,Hotel Antemare
12,12200333P,12300335K,12200333P,20200288L,1,Ducci,Hotel Montserrat
13,12400229R,12500778U,12500778U,20300643G,1,Victòria,Hotel Montserrat
14,12600221Y,12700123A,12700123A,20300643G,1,Gènova,Hotel Capri
15,12800234A,12900232W,12800234A,20300643G,1,Ducci,Hotel Montserrat
16,13000838P,13100121L,13100121L,20300643G,1,Victòria,Hotel Montserrat
1,10300,10000456H,10000456H,20400453H,2,Victòria,Hotel Calipolis
2,10500332J,10700775L,10500332J,20400453H,2,Gènova,Hotel Capri
3,11000901D,10800332K,11000901D,20400453H,2,Venecia,Hotel Antemare
4,11300443Y,11500678S,11500678S,20400453H,2,Artemisa,Hotel Montserrat
5,11600283R,11900147M,11600283R,20300643G,2,Ducci,Hotel Montserrat
6,12000922R,12200333P,12000922R,20200288L,2,Gènova,Hotel Capri
7,12500778U,12700123A,12700123A,20300643G,2,Artemisa,Hotel Montserrat
8,12800234A,13100121L,13100121L,20300643G,2,Gènova,Hotel Capri
1,10000456H,10500332J,10000456H,20300643G,3,Victòria,Hotel Calipolis
2,11000901D,11500678S,11500678S,20300643G,3,Victòria,Hotel Montserrat
3,11600283R,12000922R,11600283R,20300643G,3,Artemisa,Hotel Montserrat
4,12700123A,13100121L,13100121L,20400453H,3,Victòria,Hotel Calipolis
1,11500678S,10000456H,,20400453H,4,Victòria,Hotel Montserrat
2,13100121L,11600283R,,20300643G,4,Victòria,Hotel Calipolis
1,,,,,5,Artemisa,Hotel Montserrat
